feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,pollutant_update-time,pollutant_value,station_id
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,99.63985594237695,MXMEX-ACO
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,8.6,MXMEX-ACO
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,83,MXMEX-ACO
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,112.8451380552221,MXMEX-ATI
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,126.0,MXMEX-CHO
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,7.9,MXMEX-CHO
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,77,MXMEX-CHO
MXMEX-20151211936,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T09:00:00,52.5,MXMEX-COY
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,84.03361344537815,MXMEX-CUA
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,11.8,MXMEX-CUA
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,54,MXMEX-CUA
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,144.0,MXMEX-CUT
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,7.6,MXMEX-CUT
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,85,MXMEX-CUT
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,109.2436974789916,MXMEX-FAC
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,-99,MXMEX-FAC
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,-99,MXMEX-FAC
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,130.0,MXMEX-HGM
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,12.7,MXMEX-HGM
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,60,MXMEX-HGM
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,120.04801920768308,MXMEX-IZT
MXMEX-20151211936,MXMEX-SO2-1993,1,SO2,ppb,2015-12-11T09:00:00,6.500000000000001,MXMEX-LLA
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,148.0,MXMEX-MER
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,67,MXMEX-MER
MXMEX-20151211936,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T09:00:00,35.699999999999996,MXMEX-MON
MXMEX-20151211936,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T09:00:00,42.0,MXMEX-NEZ
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,122.0,MXMEX-PED
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,11.9,MXMEX-PED
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,70,MXMEX-PED
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,130.0,MXMEX-SAG
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,10.9,MXMEX-SAG
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,72,MXMEX-SAG
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,124.0,MXMEX-TAH
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,9.6,MXMEX-TAH
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,75,MXMEX-TAH
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,136.0,MXMEX-TLA
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,11.1,MXMEX-TLA
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,56,MXMEX-TLA
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,126.0,MXMEX-TLI
MXMEX-20151211936,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T09:00:00,39.9,MXMEX-UAX
MXMEX-20151211936,MXMEX-NOx-1993,1,Temp,C,2015-12-11T09:00:00,10.9,MXMEX-UAX
MXMEX-20151211936,MXMEX-NOx-1993,1,Hum,%,2015-12-11T09:00:00,76,MXMEX-UAX
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,138.0,MXMEX-UIZ
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,11.7,MXMEX-UIZ
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,69,MXMEX-UIZ
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,162.0,MXMEX-VIF
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,9.6,MXMEX-VIF
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,75,MXMEX-VIF
MXMEX-20151211936,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T09:00:00,182.0,MXMEX-XAL
MXMEX-20151211936,MXMEX-PM10-1993,1,Temp,C,2015-12-11T09:00:00,10.9,MXMEX-XAL
MXMEX-20151211936,MXMEX-PM10-1993,1,Hum,%,2015-12-11T09:00:00,67,MXMEX-XAL
